event_date,event_id,train_rows,test_rows,n,accuracy,brier,log_loss,auc
2022-09-21,600022211,274,5,5,1.0,0.007847222098199654,0.06977722031410799,1.0
2022-09-28,600022212,279,5,5,1.0,0.08143077178260869,0.27343828086241934,1.0
2023-08-08,600036332,284,5,5,0.6,0.34450636648643446,1.3431215057113381,0.6666666666666667
2023-08-15,600036492,289,5,5,0.2,0.5312099852984498,1.4518442498198467,
2023-08-23,600036493,294,4,4,1.0,0.03596009289943026,0.13574592777766237,1.0
2023-08-30,600036494,298,5,5,0.6,0.15020091676895114,0.405977401027401,0.8333333333333334
2023-09-06,600036495,303,5,5,0.8,0.11996064979090734,0.32974339914389716,1.0
2023-09-13,600036496,308,5,5,1.0,0.013948344011098438,0.08500692509457862,
2023-09-20,600036497,313,4,4,1.0,0.04321791244512822,0.16419381063945357,
2023-09-27,600036498,317,5,5,0.6,0.22673931028759461,0.5826531720686495,
2023-10-04,600036499,322,4,4,0.5,0.30259614700764437,0.8146104804847754,0.5
2023-10-11,600036500,326,6,6,1.0,0.05261943220428359,0.20429735534700963,1.0
2024-08-13,600047624,332,5,5,0.2,0.2812209809984681,0.7280457844593908,0.33333333333333337
2024-08-20,600047773,337,5,5,0.2,0.38897808669078404,1.0311466339486788,0.25
2024-08-28,600047774,342,5,5,0.8,0.1813113620418878,0.516599229700277,0.6666666666666666
2024-09-04,600047775,347,5,5,0.6,0.2819032438704999,0.9436500992768335,0.75
2024-09-11,600047776,352,4,4,0.75,0.12126784696878845,0.3831142876260293,
2024-09-18,600047777,356,5,5,0.8,0.10366086717126546,0.3237439516811748,1.0
2024-09-25,600047778,361,5,5,0.8,0.1276842362575054,0.34877421134777237,1.0
2024-10-02,600047779,366,5,5,0.8,0.08527534479338383,0.2655993777416093,1.0
2024-10-09,600047780,371,5,5,0.8,0.1030861611035679,0.32372885966021575,
2024-10-16,600047781,376,5,5,0.6,0.19284629146124152,0.5282270569558326,0.8333333333333334
2025-08-12,600055020,381,5,5,0.6,0.28228090188404487,0.8055373896143051,0.6666666666666666
2025-08-20,600055021,386,5,5,0.8,0.1621549633317814,0.4779383287370278,0.8333333333333333
2025-08-27,600055005,391,5,5,1.0,0.0013458419593892904,0.030459692983782115,1.0
2025-09-03,600055006,396,5,5,0.6,0.36286665542800106,1.36210801330235,1.0
2025-09-10,600055007,401,5,5,0.8,0.11746213963383342,0.3220902512410204,1.0
2025-09-17,600055031,406,5,5,0.4,0.2711353951324085,0.7057527043198834,0.33333333333333337
2025-09-24,600055032,411,5,5,1.0,0.0520817780731996,0.1986511393318707,1.0
