event_date,event_id,train_rows,test_rows,champion_accuracy,champion_brier,champion_log_loss,challenger_accuracy,challenger_brier,challenger_log_loss
2021-09-01,600008640,187,4,1.0,0.15607955034435184,0.4958815750115711,0.75,0.170064751943111,0.48564253007645564
2021-09-08,600008641,191,4,0.5,0.3250075353811938,0.8706944548449362,0.25,0.46387749225586267,1.287796548582268
2021-09-15,600008642,195,5,0.4,0.35417774125147,0.9354680726071744,0.2,0.38868326573754625,1.0284402698467687
2021-09-22,600008643,200,5,0.8,0.18176524929411272,0.5503397997839429,0.8,0.2147528815222608,0.6369063922602898
2021-09-29,600008644,205,4,0.5,0.30611693295875486,0.8247317451990597,0.5,0.31258683861593006,0.8523760401340008
2021-10-06,600010080,209,5,0.4,0.266506741284085,0.726521572639924,0.6,0.23138464127129216,0.6491798694277445
2021-10-13,600010081,214,5,1.0,0.15809820741952196,0.505818759365772,0.6,0.26309238935859847,0.7245532909648185
2021-10-20,600011551,219,5,0.8,0.14464730916722926,0.4678687460526665,1.0,0.14712669889474828,0.4693788587709654
2021-10-27,600011552,224,6,0.3333333333333333,0.26606047300159874,0.7239369430734226,0.5,0.305424855937866,0.8526347065348814
2021-11-03,600011553,230,5,0.8,0.10754299122973592,0.3825832492869677,0.4,0.29348376963908046,0.8118699123069684
2022-07-27,600021770,235,4,0.5,0.32153715168513286,0.8553432112209962,0.75,0.17410703301627334,0.5329153867583396
2022-08-03,600021771,239,5,0.8,0.15895973359401971,0.4674363266359827,1.0,0.07608946762507147,0.31158799674893534
2022-08-10,600021772,244,5,0.8,0.17074808769089142,0.5120270057484586,0.6,0.1684438459405943,0.5050436653429724
2022-08-17,600021773,249,5,0.4,0.2297462594838539,0.6460116992962925,0.4,0.3586043660054087,0.9310158931840056
2022-08-24,600022207,254,5,0.0,0.426159870540938,1.0793911009857549,0.4,0.3875429155611573,1.0809004470297907
2022-08-31,600022208,259,5,0.8,0.15773969444354924,0.49823122043758233,0.6,0.25310539063286025,0.7027779433047511
2022-09-07,600022209,264,5,0.6,0.20732051899909704,0.591936483739493,0.6,0.2611463820564048,0.9304764018986418
2022-09-14,600022210,269,5,0.4,0.20610410574586666,0.5910429946737416,0.4,0.3080760362594735,0.8158194395458789
2022-09-21,600022211,274,5,0.8,0.1501189714512047,0.47970880228242346,0.8,0.1750004712134963,0.535662078563291
2022-09-28,600022212,279,5,0.6,0.3683407926576434,2.0410487145809117,0.8,0.20818157231324616,0.595002620596882
2023-08-08,600036332,284,5,0.6,0.1900545587111254,0.5709810545409797,0.6,0.277272507577208,0.746573680610615
2023-08-15,600036492,289,5,0.6,0.16293703520793784,0.49459652618219324,0.6,0.1824796283020073,0.5426693759402536
2023-08-23,600036493,294,4,0.5,0.2248800960455914,0.63657049171965,0.75,0.22697829512200826,0.6438906463455893
2023-08-30,600036494,298,5,0.6,0.1624904686942949,0.49311129533140363,0.4,0.33664683194481054,0.997817674362711
2023-09-06,600036495,303,5,0.8,0.14396214059897589,0.459948887471269,0.6,0.18236320808670747,0.5342559154784666
2023-09-13,600036496,308,5,1.0,0.1500183814099001,0.48571483928815307,1.0,0.11087476873189565,0.3853308816969898
2023-09-20,600036497,313,4,0.5,0.19332906560482577,0.5696159486185086,1.0,0.12161290660448706,0.4163137487230105
2023-09-27,600036498,317,5,0.6,0.2855243106709298,0.7736141712699485,0.4,0.3806880508037902,1.0131863858963486
2023-10-04,600036499,322,4,0.75,0.17547672824909158,0.5179422983159796,0.75,0.13165299225726299,0.40542972061664945
2023-10-11,600036500,326,6,0.8333333333333334,0.1401119686862696,0.4528930448621605,0.5,0.29378151461615737,0.7894713278068887
2024-08-13,600047624,332,5,0.6,0.25243650191393885,0.6978773893072746,0.6,0.23719371586352364,0.6619154859125627
2024-08-20,600047773,337,5,1.0,0.08829515188141683,0.3005560529716159,0.4,0.31063518326594813,0.8174755145830707
2024-08-28,600047774,342,5,0.8,0.17636770847441027,0.5298349957809123,0.6,0.18943298054228003,0.5584401481585476
2024-09-04,600047775,347,5,0.6,0.2554407857001987,0.7047485867561776,0.6,0.17455932245609942,0.5299889551879844
