event_date,fighter_a,fighter_b,fighter_a_matched,fighter_b_matched,both_matched,fighter_a_last_source_date,fighter_b_last_source_date
2019-08-14,sarah alpar,shanna young,1,1,1,2019-08-13,2019-08-13
2019-08-14,tony gravely,ray rodriguez,1,1,1,2019-08-13,2019-08-13
2019-08-14,devin smyth,brok weaver,0,1,0,,2018-02-08
2019-08-14,karl reed,julius anglickas,1,1,1,2019-08-13,2019-08-13
2019-08-14,herdem alacabek,william knight,1,1,1,2017-06-02,2019-01-19
2019-08-21,steve garcia,desmond torres,1,1,1,2019-08-20,2019-08-20
2019-08-21,leon shahbazyan,phil rowe,1,0,0,2017-06-17,
2019-08-21,micol disegni,mallory martin,1,1,1,2019-08-20,2019-08-20
2019-08-21,phil caracappa,ricky steele,1,1,1,2019-08-20,2019-08-20
2019-08-21,jamal pogues,marcos brigagão,1,1,1,2019-08-20,2019-08-20
2019-08-28,teddy ash,duško todorović,1,0,0,2019-03-01,
2019-08-28,tj brown,dylan lockard,0,1,0,,2018-08-03
2019-08-28,sanghoon yoo,peter barrett,0,0,0,,
2019-08-28,kailan hill,impa kasanganay,1,1,1,2019-08-27,2019-08-27
2020-08-05,ty flores,dustin jacoby,1,1,1,2020-08-04,2020-08-04
2020-08-05,jordan leavitt,jose flores,1,1,1,2020-08-04,2020-08-04
2020-08-05,jerome rivera,ronaldo rodríguez,1,1,1,2020-08-04,2020-08-04
2020-08-05,uros medic,mikey gonzalez,0,1,0,,2017-11-18
2020-08-12,daniel swain,tj laramie,1,0,0,2019-01-26,
2020-08-12,brady huang,adrian yanez,1,1,1,2020-08-11,2020-08-11
2020-08-12,anthony adams,impa kasanganay,1,1,1,2020-08-11,2020-08-11
2020-08-12,cory mckenna,vanessa demopoulos,1,1,1,2020-08-11,2020-08-11
2020-08-12,dustin stoltzfus,joe pyfer,1,1,1,2019-06-29,2020-02-21
2020-08-19,louis cosce,victor reyna,0,1,0,,2019-11-01
2020-08-19,chad johnson,josh parisian,1,1,1,2020-08-18,2020-08-18
2020-08-19,kevin syler,kenneth cross,1,1,1,2020-08-18,2020-08-18
2020-08-19,cheyanne vlismas,hilarie rose,1,1,1,2020-08-18,2020-08-18
2020-08-19,orion cosce,matt dixon,1,1,1,2020-08-18,2020-08-18
2020-08-26,alejandro flores,rafael alves,1,1,1,2020-08-25,2020-08-25
2020-08-26,jamie pickett,jhonoven pati,1,1,1,2020-08-25,2020-08-25
2020-08-26,jeff molina,jacob silva,1,1,1,2020-08-25,2020-08-25
2020-08-26,kyron bowen,collin huckbody,1,1,1,2020-08-25,2020-08-25
2020-08-26,anthony romero,mike breeden,1,1,1,2020-08-25,2020-08-25
2020-09-02,jimmy flick,nate smith,1,1,1,2020-09-01,2020-09-01
