event_date,event_id,bout_key,fighter_a_id,fighter_b_id,fighter_a,fighter_b,winner_a,winner_name,method,finish_round,duration_minutes,age_diff,height_diff,reach_diff,height_missing_diff,reach_missing_diff,southpaw_diff,switch_diff,striker_style_diff,grappler_style_diff,prior_dwcs_bouts_diff,prior_dwcs_wins_diff,prior_dwcs_win_pct_diff,prior_dwcs_finish_pct_diff,prior_dwcs_ko_win_pct_diff,prior_dwcs_sub_win_pct_diff,prior_dwcs_dec_win_pct_diff,prior_dwcs_avg_duration_diff,prior_dwcs_over25_rate_diff,prior_dwcs_stats_available_diff,prior_dwcs_sig_landed_pm_diff,prior_dwcs_sig_attempted_pm_diff,prior_dwcs_sig_accuracy_diff,prior_dwcs_td_landed_per15_diff,prior_dwcs_td_attempted_per15_diff,prior_dwcs_td_accuracy_diff,prior_dwcs_kd_per15_diff,prior_dwcs_sub_attempts_per15_diff
2023-10-11,600036500,600036500|5044438|5157670,5044438,5157670,connor matthews,jair farias,1,connor matthews,DEC-UNA,3,15.0,0.7912551250196778,-7.6200000000000045,-15.240000000000009,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,1.0,7.333333333333333,15.466666666666667,0.47413793103448276,6.0,10.0,0.6,0.0,0.0
2023-10-11,600036500,600036500|5146278|5149442,5146278,5149442,lucas rocha,davi bittencourt,1,lucas rocha,KO-TKO,2,5.3,-5.834479831892509,-5.079999999999984,-2.539999999999992,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-11,600036500,600036500|5147579|5157669,5157669,5147579,andre lima,rickson zenidim,1,andre lima,DEC-UNA,3,15.0,0.03559279109085267,0.0,-1.2699999999999818,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-13,600047624,600047624|4295666|4813565,4295666,4813565,rami hamed,ding meng,1,rami hamed,DEC-UNA,3,15.0,3.4251216657426227,-2.5400000000000205,-5.079999999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-13,600047624,600047624|4691323|5149722,5149722,4691323,mikheil sazhiniani,bruno lopes,0,bruno lopes,KO-TKO,2,9.23,-3.449762828805518,-5.0800000000000125,-7.6200000000000045,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.78,0.0,-1.0,-5.291005291005291,-15.07936507936508,-0.3508771929824561,0.0,0.0,0.0,0.0,0.0
2024-08-13,600047624,600047624|5057023|5211221,5057023,5211221,wes schultz,mansur abdul-malik,0,mansur abdul-malik,KO-TKO,2,8.92,1.1608725709631287,0.0,-6.349999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-13,600047624,600047624|5147737|5200305,5200305,5147737,an tuan ho,lone'er kavanagh,0,lone'er kavanagh,KO-TKO,1,2.42,-1.3032437353265323,0.0,-1.2700000000000102,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-13,600047624,600047624|5212749|5223435,5223435,5212749,jose miguel delgado,ernie juarez,1,jose miguel delgado,KO-TKO,2,6.42,-0.27105279369186164,7.6200000000000045,10.159999999999997,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-20,600047773,600047773|4001837|4863329,4001837,4863329,rizvan kuniev,hugo cunha,1,rizvan kuniev,KO-TKO,1,4.98,0.9062472193131974,2.539999999999992,-7.6200000000000045,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,11.0,0.0,1.0,7.090909090909091,9.636363636363637,0.7358490566037735,4.090909090909091,5.454545454545455,0.75,0.0,0.0
2024-08-20,600047773,600047773|4050996|4694832,4050996,4694832,torrez finney,cam rowston,1,torrez finney,DEC-UNA,3,15.0,-3.7618842276022093,-17.78,-7.6200000000000045,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,7.720000000000001,0.0,1.0,0.9067357512953367,1.5544041450777202,0.5833333333333334,13.60103626943005,21.37305699481865,0.6363636363636364,0.0,3.8860103626943
