uid,fight_id,event_id,event_date,event_name,promotion,fighter_id,fighter_name,fight_result,opponent_id,opponent_name,title_fight,fight_end_round,fight_result_type,fight_duration,over_2_5
s:3301~l:3321~e:600047778~c:401717098,600047778-5211222-5216849,600047778,2024-09-25,Dana White's Contender Series,DWC,5220883,francesco mazzeo,L,5216849,kevin christian,False,2,SUBMISSION,9.280000000000001,False
s:3301~l:3321~e:600055007~c:401808384,600055007-5172335-4958170,600055007,2025-09-10,Dana White's Contender Series,DWC,5222338,cam teague,L,4958170,lerryan douglas,False,1,KO-TKO,0.6,False
s:3301~l:3321~e:600047778~c:401717099,600047778-5172335-5145681,600047778,2024-09-25,Dana White's Contender Series,DWC,5222338,cam teague,L,5145681,kevin vallejos,False,1,KO-TKO,2.38,False
s:3301~l:3321~e:600047778~c:401717100,600047778-5214599-5075992,600047778,2024-09-25,Dana White's Contender Series,DWC,5142277,rose conceição,L,5075992,alexia thainara,False,3,DEC-UNA,15.0,True
s:3301~l:3321~e:600047777~c:401716183,600047777-5157667-5212856,600047777,2024-09-18,Dana White's Contender Series,DWC,5212857,arthur lopes,L,5212856,tallison teixeira,False,1,KO-TKO,1.95,False
s:3301~l:3321~e:600047777~c:401716184,600047777-5218816-4705665,600047777,2024-09-18,Dana White's Contender Series,DWC,5218815,benjamin bennett,W,5218816,joey hart,False,3,DEC-SPLT,15.0,True
s:3301~l:3321~e:600047777~c:401716185,600047777-5218421-5013686,600047777,2024-09-18,Dana White's Contender Series,DWC,5218420,yura naito,L,5218421,ateba gautier,False,2,KO-TKO,9.0,False
s:3301~l:3321~e:600047777~c:401716186,600047777-5074129-5204226,600047777,2024-09-18,Dana White's Contender Series,DWC,4935217,dylan mantello,L,5074129,ahmad hassanzada,False,3,SUBMISSION,12.68,True
s:3301~l:3321~e:600036497~c:401591069,600036497-5204226-4868702,600036497,2023-09-20,Dana White's Contender Series,DWC,4935217,dylan mantello,L,4868702,kaynan kruschewsky,False,1,SUBMISSION,2.87,False
s:3301~l:3321~e:600047776~c:401715288,600047776-4801267-5216713,600047776,2024-09-11,Dana White's Contender Series,DWC,5228275,phil latu,L,5216713,navajo stirling,False,2,KO-TKO,7.35,False
s:3301~l:3321~e:600047776~c:401703289,600047776-4285679-5212850,600047776,2024-09-11,Dana White's Contender Series,DWC,5212853,otari tanzilovi,L,5212850,josias musasa,False,3,DEC-SPLT,15.0,True
s:3301~l:3321~e:600047775~c:401690354,600047775-4245470-4701954,600047775,2024-09-04,Dana White's Contender Series,DWC,5214599,igor cavalcanti,L,4701954,seokhyeon ko,False,3,DEC-UNA,15.0,True
s:3301~l:3321~e:600047775~c:401711524,600047775-5110469-5120304,600047775,2024-09-04,Dana White's Contender Series,DWC,5172335,dorian ramos,L,5120304,austin bashi,False,2,SUBMISSION,8.25,False
s:3301~l:3321~e:600047775~c:401699793,600047775-5211223-5110469,600047775,2024-09-04,Dana White's Contender Series,DWC,5211222,shannon clark,L,5211223,yuneisy duben,False,1,KO-TKO,1.22,False
s:3301~l:3321~e:600047775~c:401699794,600047775-4285679-5085318,600047775,2024-09-04,Dana White's Contender Series,DWC,5157667,quillan salkilld,W,5085318,gauge young,False,3,DEC-UNA,15.0,True
s:3301~l:3321~e:600047774~c:401690353,600047774-5211225-3109135,600047774,2024-08-28,Dana White's Contender Series,DWC,4705665,liam anderson,L,5211225,andrey pulyaev,False,3,DEC-UNA,15.0,True
s:3301~l:3321~e:600047774~c:401698248,600047774-5138111-5110469,600047774,2024-08-28,Dana White's Contender Series,DWC,5013686,matthieu duclos,L,5138111,marco tulio,False,2,KO-TKO,7.63,False
s:3301~l:3321~e:600047774~c:401698249,600047774-5212854-3030256,600047774,2024-08-28,Dana White's Contender Series,DWC,4421157,adam bramhald,L,5212854,malcolm wellmaker,False,1,KO-TKO,2.48,False
s:3301~l:3321~e:600036499~c:401597253,600036499-4295666-5149440,600036499,2023-10-04,Dana White's Contender Series,DWC,5157817,jose daniel medina,L,5149440,magomed gadzhiyasulov,False,3,DEC-UNA,15.0,True
