uid,fighter_id,SDBL,SDBA,SDB_ACC,SDHL,SDHA,SDH_ACC,SDLL,SDLA,SDL_ACC,TSL,TSA,TS_ACC,SSL,SSA,SS_ACC,KD,SCBL,SCBA,SCB_ACC,SCHL,SCHA,SCH_ACC,SCLL,SCLA,SCL_ACC,RV,SR,TDA,TDL,TDS,TD_ACC,SGBL,SGBA,SGB_ACC,SGHL,SGHA,SGH_ACC,SGLL,SGLA,SGL_ACC,AD,ADTB,ADHG,ADTM,ADTS,SM,TSLL,TSLA,SL_ACC,TSBL,TSBA,SB_ACC,TSHL,TSHA,SH_ACC
s:3301~l:3321~e:600047775~c:401690354,4701954,5,8,0.62,33,73,0.45,3,3,1.0,107,173,0.62,54,104,0.52,0,1,1,1.0,2,4,0.5,0,0,0.0,0,0.000,6,2,0,0.33,0,0,0.0,10,15,0.67,0,0,0.0,0,0,0,0,0,0,3,3,1.0,6,9,0.67,45,92,0.49
s:3301~l:3321~e:600047624~c:401686958,5211221,0,2,0.0,22,57,0.39,1,1,1.0,55,97,0.57,48,90,0.53,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.000,0,0,0,0.0,0,0,0.0,25,30,0.83,0,0,0.0,0,0,0,0,0,0,1,1,1.0,0,2,0.0,47,87,0.54
s:3301~l:3321~e:600047774~c:401698249,5212854,5,7,0.71,12,20,0.6,3,3,1.0,20,30,0.67,20,30,0.67,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0.000,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,3,3,1.0,5,7,0.71,12,20,0.6
s:3301~l:3321~e:600022207~c:401466056,4601333,5,15,0.33,41,147,0.28,5,6,0.83,55,174,0.32,55,174,0.32,0,1,1,1.0,3,5,0.6,0,0,0.0,0,0.000,4,1,0,0.25,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,5,6,0.83,6,16,0.38,44,152,0.29
s:3301~l:3321~e:600022211~c:401483870,5088844,0,1,0.0,4,12,0.33,5,6,0.83,91,143,0.64,20,40,0.5,0,0,0,0.0,0,0,0.0,0,0,0.0,3,0.000,5,3,0,0.6,0,0,0.0,11,21,0.52,0,0,0.0,0,0,0,0,0,1,5,6,0.83,0,1,0.0,15,33,0.45
s:3301~l:3321~e:401221629~c:401231061,4685888,4,5,0.8,6,24,0.25,3,4,0.75,27,63,0.43,19,51,0.37,0,0,0,0.0,0,3,0.0,0,0,0.0,1,0.000,4,2,0,0.5,0,0,0.0,4,13,0.31,2,2,1.0,5,1,2,0,2,2,5,6,0.83,4,5,0.8,10,40,0.25
s:3301~l:3321~e:600047775~c:401699793,5211223,1,1,1.0,18,31,0.58,2,2,1.0,27,41,0.66,25,39,0.64,1,0,0,0.0,4,4,1.0,0,0,0.0,0,0.000,0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,2,2,1.0,1,1,1.0,22,36,0.61
s:3301~l:3321~e:600022209~c:401467664,3093513,18,20,0.9,56,120,0.47,3,4,0.75,85,158,0.54,85,158,0.54,1,1,1,1.0,4,6,0.67,0,0,0.0,0,0.000,3,1,0,0.33,0,0,0.0,3,7,0.43,0,0,0.0,0,0,0,0,0,0,3,4,0.75,19,21,0.9,63,133,0.47
s:3301~l:3321~e:600047781~c:401724486,5057385,2,7,0.29,44,96,0.46,3,4,0.75,71,136,0.52,59,120,0.49,0,1,2,0.5,9,11,0.82,0,0,0.0,0,0.000,3,1,0,0.33,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,3,4,0.75,3,9,0.33,53,107,0.5
s:3301~l:3321~e:600047781~c:401724507,5223854,8,14,0.57,15,46,0.33,6,9,0.67,50,101,0.5,38,86,0.44,0,5,6,0.83,2,7,0.29,0,0,0.0,0,0.000,11,5,0,0.45,0,0,0.0,2,4,0.5,0,0,0.0,0,0,0,0,0,0,6,9,0.67,13,20,0.65,19,57,0.33
